symbol,exchange,name
009810,KRX,플레이그램
009830,KRX,한화솔루션
009835,KRX,한화솔루션우
009900,KRX,명신산업
009970,KRX,영원무역홀딩스
010040,KRX,한국내화
010060,KRX,OCI홀딩스
010100,KRX,한국무브넥스
010120,KRX,LS ELECTRIC
010130,KRX,고려아연
010140,KRX,삼성중공업
010170,KRX,대한광통신
010240,KRX,흥국
010280,KRX,아이티센엔텍
010400,KRX,우진아이엔에스
010420,KRX,한솔PNS
010470,KRX,오리콤
010580,KRX,에스엠벡셀
010600,KRX,웰바이오텍
010620,KRX,HD현대미포
010640,KRX,진양폴리
010660,KRX,화천기계
010690,KRX,화신
010770,KRX,평화홀딩스
010780,KRX,아이에스동서
010820,KRX,퍼스텍
010950,KRX,S-Oil
010955,KRX,S-Oil우
010960,KRX,삼호개발
011000,KRX,진원생명과학
011040,KRX,경동제약
011070,KRX,LG이노텍
011080,KRX,형지I&C
011090,KRX,에넥스
011150,KRX,CJ씨푸드
011155,KRX,CJ씨푸드1우
011170,KRX,롯데케미칼
011200,KRX,HMM
011210,KRX,현대위아
011230,KRX,삼화전자
011280,KRX,태림포장
011300,KRX,성안머티리얼스
011320,KRX,유니크
011330,KRX,유니켐
011370,KRX,서한
011390,KRX,부산산업
011420,KRX,갤럭시아에스엠
011500,KRX,한농화성
011560,KRX,세보엠이씨
011690,KRX,와이투솔루션
011700,KRX,한신기계
011760,KRX,현대코퍼레이션
011780,KRX,금호석유화학
011785,KRX,금호석유화학우
011790,KRX,SKC
011810,KRX,STX
011930,KRX,신성이엔지
012030,KRX,DB
012160,KRX,영흥
012170,KRX,아센디오
012200,KRX,계양전기
012205,KRX,계양전기우
012210,KRX,삼미금속
012280,KRX,영화금속
012320,KRX,경동인베스트
012330,KRX,현대모비스
012340,KRX,뉴인텍
012450,KRX,한화에어로스페이스
012510,KRX,더존비즈온
012610,KRX,경인양행
012620,KRX,원일특강
012630,KRX,HDC
012690,KRX,모나리자
012700,KRX,리드코프
012750,KRX,에스원
012790,KRX,신일제약
012800,KRX,대창
012860,KRX,모베이스전자
013000,KRX,세우글로벌
013030,KRX,하이록코리아
013120,KRX,동원개발
013310,KRX,아진산업
013360,KRX,일성건설
013520,KRX,화승코퍼레이션
013570,KRX,디와이
013580,KRX,계룡건설
013700,KRX,까뮤이앤씨
013720,KRX,THE CUBE&
013810,KRX,스페코
013870,KRX,지엠비코리아
013890,KRX,지누스
013990,KRX,아가방컴퍼니
014100,KRX,메디앙스
014130,KRX,한익스프레스
014160,KRX,대영포장
014190,KRX,원익큐브
014200,KRX,광림
014280,KRX,금강공업
014285,KRX,금강공업우
014440,KRX,영보화학
014470,KRX,부방
014530,KRX,극동유화
014570,KRX,고려제약
014580,KRX,태경비케이
